,Unnamed: 0,Unnamed: 0.1,Rowid,Timestamp,Anonymized_Vehicle_number,Vehicle_type,Unnamed: 0.2,Number_of_axles,Tollplaza_id,Tollplaza_code,Unnamed: 0.3,Type of Payment code,Vehicle Code
28,28,28,29,Sun Aug 15 11:11:42 2021,495967,CAR,28,495967,4987,PCF4A9637,28,495967,
29,29,29,30,Sat Aug 14 03:39:26 2021,1920115,CAR,29,1920115,4755,PC628DCED,29,1920115,
30,30,30,31,Wed Aug 18 23:33:41 2021,9940618,TRUCK,30,9940618,4079,PCF1366ED,30,9940618,
31,31,31,32,Fri Aug  6 10:18:54 2021,733942,CAR,31,733942,4616,PCE6675F9,31,2021,733942.0
32,32,32,33,Thu Aug 19 15:58:25 2021,3232373,TRUCK,32,3232373,4245,PC6594AD4,32,3232373,
33,33,33,34,Thu Aug 19 07:23:18 2021,2164250,TRUCK,33,2164250,4090,PC1EE951B,33,2164250,
34,34,34,35,Sun Aug  1 09:10:05 2021,3714822,TRUCK,34,3714822,4383,PC4BFE950,34,2021,3714822.0
35,35,35,36,Sat Aug  7 13:11:54 2021,9870882,VAN,35,9870882,4449,PCAACD453,35,2021,9870882.0
36,36,36,37,Tue Aug 10 01:27:00 2021,834998,CAR,36,834998,4351,PC4E572D8,36,834998,
37,37,37,38,Tue Aug 10 14:31:35 2021,6715866,CAR,37,6715866,4159,PC5631507,37,6715866,
38,38,38,39,Sun Aug  8 09:43:26 2021,9723146,CAR,38,9723146,4018,PCCB2657A,38,2021,9723146.0
39,39,39,40,Mon Aug  2 16:18:51 2021,2871310,CAR,39,2871310,4827,PC7D68CD9,39,2021,2871310.0
40,40,40,41,Sat Aug 14 13:13:47 2021,7657312,VAN,40,7657312,4115,PCF5D4B0A,40,7657312,
41,41,41,42,Tue Aug  3 03:53:05 2021,9802000,CAR,41,9802000,4102,PC8C9B099,41,2021,9802000.0
42,42,42,43,Mon Aug 16 00:36:00 2021,6514220,CAR,42,6514220,4398,PCE60D320,42,6514220,
43,43,43,44,Fri Aug 20 02:10:55 2021,3803763,CAR,43,3803763,4918,PC8F8E598,43,3803763,
44,44,44,45,Sat Aug 14 06:32:07 2021,2223161,CAR,44,2223161,4984,PCBABF130,44,2223161,
45,45,45,46,Fri Jul 30 02:19:56 2021,1228573,TRUCK,45,1228573,4460,PCDF04952,45,1228573,
46,46,46,47,Wed Aug  4 14:30:03 2021,4872795,CAR,46,4872795,4326,PC356AE8F,46,2021,4872795.0
47,47,47,48,Sat Aug 14 04:04:45 2021,2074513,VAN,47,2074513,4600,PCB99E8F9,47,2074513,
48,48,48,49,Thu Aug 12 04:58:14 2021,7368256,CAR,48,7368256,4735,PC2294422,48,7368256,
49,49,49,50,Wed Aug 11 10:50:27 2021,2168309,CAR,49,2168309,4162,PC51A39A7,49,2168309,
50,50,50,51,Sun Aug  8 08:37:17 2021,5131457,CAR,50,5131457,4012,PCEF5C190,50,2021,5131457.0
51,51,51,52,Mon Aug  9 23:48:43 2021,2398430,CAR,51,2398430,4223,PCA37D114,51,2021,2398430.0
52,52,52,53,Wed Aug 18 17:50:45 2021,6065595,VAN,52,6065595,4990,PCFE28E92,52,6065595,
53,53,53,54,Mon Aug  2 16:59:38 2021,9885768,CAR,53,9885768,4154,PC2C2EF9E,53,2021,9885768.0
54,54,54,55,Thu Aug 19 04:54:56 2021,4327783,CAR,54,4327783,4913,PC685427C,54,4327783,
55,55,55,56,Tue Aug 17 18:11:45 2021,3904834,TRUCK,55,3904834,4388,PC803F0F2,55,3904834,
56,56,56,57,Mon Aug  2 19:48:50 2021,1358382,CAR,56,1358382,4299,PCAD3B9BC,56,2021,1358382.0
57,57,57,58,Tue Aug 17 16:46:31 2021,3579992,CAR,57,3579992,4725,PCB905D54,57,3579992,
58,58,58,59,Wed Aug 11 22:21:30 2021,8130760,CAR,58,8130760,4229,PCD0DDD3D,58,8130760,
59,59,59,60,Fri Jul 30 09:54:24 2021,6546218,CAR,59,6546218,4354,PC0671DD4,59,6546218,
60,60,60,61,Sat Aug  7 16:42:24 2021,3673515,CAR,60,3673515,4127,PCA2D76A5,60,2021,3673515.0
61,61,61,62,Wed Aug  4 20:43:54 2021,9888875,TRUCK,61,9888875,4522,PC0A326BE,61,2021,9888875.0
62,62,62,63,Sat Aug  7 20:44:08 2021,8136080,TRUCK,62,8136080,4410,PC6EFC03B,62,2021,8136080.0
63,63,63,64,Thu Aug 12 19:23:36 2021,2078447,VAN,63,2078447,4689,PC89C35AD,63,2078447,
64,64,64,65,Sat Aug  7 16:41:49 2021,8090807,CAR,64,8090807,4296,PCA24C1E1,64,2021,8090807.0
65,65,65,66,Sun Aug  1 07:32:04 2021,4309692,CAR,65,4309692,4303,PC2E2E0C0,65,2021,4309692.0
66,66,66,67,Wed Aug 11 14:24:25 2021,3752767,CAR,66,3752767,4346,PCA35B156,66,3752767,
67,67,67,68,Wed Aug  4 23:10:29 2021,9407219,CAR,67,9407219,4253,PC82A16E6,67,2021,9407219.0
68,68,68,69,Wed Aug  4 14:29:11 2021,2167845,VAN,68,2167845,5007,PC869BDE8,68,2021,2167845.0
69,69,69,70,Tue Aug 17 01:20:54 2021,7903517,CAR,69,7903517,4534,PCAD9E1F9,69,7903517,
70,70,70,71,Sat Aug 21 02:09:35 2021,7385817,CAR,70,7385817,4742,PC05B8749,70,7385817,
71,71,71,72,Thu Aug 19 17:52:30 2021,5673776,CAR,71,5673776,4944,PC41EEC34,71,5673776,
72,72,72,73,Tue Aug 17 21:58:23 2021,823973,CAR,72,823973,4171,PC36C9AE8,72,823973,
73,73,73,74,Tue Aug 10 13:03:36 2021,9361361,CAR,73,9361361,4750,PCD987A9D,73,9361361,
74,74,74,75,Sat Aug 21 19:25:57 2021,8744445,CAR,74,8744445,4878,PC08F56A1,74,8744445,
75,75,75,76,Sun Aug  8 14:01:06 2021,2910050,CAR,75,2910050,4274,PC88EA64E,75,2021,2910050.0
76,76,76,77,Thu Aug  5 11:21:12 2021,1686323,CAR,76,1686323,4377,PC4AC8EAD,76,2021,1686323.0
77,77,77,78,Sun Aug  1 07:10:55 2021,9113006,CAR,77,9113006,4265,PC5B2AFFA,77,2021,9113006.0
78,78,78,79,Fri Jul 30 15:53:32 2021,660597,CAR,78,660597,4304,PC89FB76E,78,660597,
79,79,79,80,Sun Aug 22 16:38:30 2021,8500934,CAR,79,8500934,4797,PCE2D63A7,79,8500934,
80,80,80,81,Thu Aug 19 13:11:29 2021,395519,TRUCK,80,395519,4061,PC3A63A79,80,395519,
81,81,81,82,Mon Aug  9 14:17:00 2021,2616607,TRUCK,81,2616607,4085,PC6150735,81,2021,2616607.0
82,82,82,83,Sat Aug 14 10:36:28 2021,7218572,CAR,82,7218572,4675,PCE49911B,82,7218572,
83,83,83,84,Thu Aug 12 11:53:03 2021,994857,TRUCK,83,994857,4997,PC8111910,83,994857,
84,84,84,85,Mon Aug  2 20:12:17 2021,3168436,CAR,84,3168436,4241,PC7241796,84,2021,3168436.0
85,85,85,86,Fri Aug 13 20:06:41 2021,1572712,CAR,85,1572712,4890,PCAFC8A56,85,1572712,
86,86,86,87,Thu Jul 29 17:35:21 2021,545955,CAR,86,545955,4537,PC10C700F,86,545955,
87,87,87,88,Sun Aug 22 05:39:41 2021,2013386,CAR,87,2013386,4743,PCE6EEF2E,87,2013386,
88,88,88,89,Wed Aug 11 02:43:03 2021,6566889,CAR,88,6566889,4026,PC2CE9851,88,6566889,
89,89,89,90,Wed Aug 11 02:39:24 2021,852585,CAR,89,852585,4373,PC8806694,89,852585,
90,90,90,91,Thu Jul 29 14:30:02 2021,6196238,TRUCK,90,6196238,4116,PCCA836C9,90,6196238,
91,91,91,92,Mon Aug  2 11:07:12 2021,6031416,TRUCK,91,6031416,4785,PC787D664,91,2021,6031416.0
92,92,92,93,Wed Aug  4 15:15:09 2021,6905906,VAN,92,6905906,5002,PC585BD38,92,2021,6905906.0
93,93,93,94,Wed Aug 11 17:34:54 2021,3764238,CAR,93,3764238,4728,PC07BF95F,93,3764238,
94,94,94,95,Thu Aug  5 06:31:23 2021,1673826,TRUCK,94,1673826,4015,PC524833E,94,2021,1673826.0
95,95,95,96,Sat Aug 21 18:13:29 2021,316662,CAR,95,316662,4817,PCFF02057,95,316662,
96,96,96,97,Thu Aug 19 22:17:26 2021,2992127,TRUCK,96,2992127,4857,PC59F4E22,96,2992127,
97,97,97,98,Thu Aug 19 12:02:31 2021,7517992,CAR,97,7517992,4724,PC3DE08BF,97,7517992,
98,98,98,99,Thu Aug 12 06:54:12 2021,6232948,TRUCK,98,6232948,4725,PCB905D54,98,6232948,
99,99,99,100,Fri Jul 30 08:09:03 2021,4369477,CAR,99,4369477,4591,PCC9875AC,99,,
100,100,100,101,Fri Aug  6 18:18:53 2021,4388245,TRUCK,100,4388245,4792,PC3E35002,100,4388245,
101,101,101,102,Sat Aug  7 20:49:07 2021,8392508,CAR,101,8392508,4927,PC2D22627,101,8392508,
102,102,102,103,Fri Jul 30 16:08:08 2021,6858708,CAR,102,6858708,4397,PCB070250,102,,
103,103,103,104,Fri Aug  6 06:59:16 2021,6215048,TRUCK,103,6215048,4195,PC308070B,103,6215048,
104,104,104,105,Fri Aug 13 11:20:04 2021,7046549,TRUCK,104,7046549,4336,PCD30AB50,104,,
105,105,105,106,Wed Aug  4 18:37:46 2021,7899881,TRUCK,105,7899881,4520,PC8140983,105,7899881,
106,106,106,107,Fri Aug 20 01:13:53 2021,9824238,CAR,106,9824238,4328,PC3777B8E,106,,
107,107,107,108,Sun Aug  8 10:25:38 2021,8180012,CAR,107,8180012,4749,PC65C93B7,107,8180012,
108,108,108,109,Tue Aug 10 12:42:19 2021,426578,CAR,108,426578,4990,PCFE28E92,108,,
109,109,109,110,Thu Jul 29 11:33:20 2021,3284775,CAR,109,3284775,4231,PC016D687,109,,
110,110,110,111,Sat Jul 31 18:42:46 2021,5487227,CAR,110,5487227,4643,PC6713209,110,,
111,111,111,112,Thu Aug 12 23:09:32 2021,1772941,CAR,111,1772941,4121,PCEC57A8E,111,,
112,112,112,113,Fri Aug 13 04:52:01 2021,2471284,VAN,112,2471284,4400,PC3BD7D63,112,,
113,113,113,114,Sun Aug 22 03:05:40 2021,6040036,CAR,113,6040036,4119,PC9EBEDB5,113,,
114,114,114,115,Fri Aug 13 12:39:10 2021,9249042,TRUCK,114,9249042,4695,PC4A5D62F,114,,
115,115,115,116,Mon Aug  9 22:59:28 2021,5791925,CAR,115,5791925,4495,PC210A754,115,5791925,
116,116,116,117,Fri Aug  6 01:01:14 2021,3696614,TRUCK,116,3696614,4434,PCA491459,116,3696614,
117,117,117,118,Mon Aug  2 05:42:51 2021,7892550,CAR,117,7892550,4299,PCAD3B9BC,117,7892550,
118,118,118,119,Sun Aug  1 19:31:14 2021,5673214,VAN,118,5673214,4023,PC77793DF,118,5673214,
119,119,119,120,Fri Aug  6 05:58:42 2021,6657095,TRUCK,119,6657095,4365,PC0F226DF,119,6657095,
120,120,120,121,Mon Aug  9 16:03:31 2021,2067579,VAN,120,2067579,4582,PC98750ED,120,2067579,
121,121,121,122,Fri Aug 13 11:42:48 2021,1005686,CAR,121,1005686,4119,PC9EBEDB5,121,,
122,122,122,123,Sun Aug  8 02:44:35 2021,7521772,VAN,122,7521772,4416,PC546F252,122,7521772,
123,123,123,124,Sun Aug 15 08:43:48 2021,6545042,CAR,123,6545042,4898,PC0AE9E1B,123,,
124,124,124,125,Mon Aug  9 05:03:17 2021,3473929,TRUCK,124,3473929,4698,PC8BCEB19,124,3473929,
125,125,125,126,Sun Aug 22 02:13:18 2021,29457,CAR,125,29457,4416,PC546F252,125,,
126,126,126,127,Sat Aug 21 23:03:24 2021,7360318,CAR,126,7360318,4993,PC0F0AB4E,126,,
127,127,127,128,Tue Aug 17 10:32:29 2021,3427163,TRUCK,127,3427163,4356,PCF1979AE,127,,
128,128,128,129,Fri Jul 30 08:44:05 2021,3007179,VAN,128,3007179,4504,PC461DCD3,128,,
129,129,129,130,Fri Aug 20 06:01:27 2021,2151509,CAR,129,2151509,4811,PCBF83C7A,129,,
130,130,130,131,Sat Jul 31 05:17:21 2021,1067960,CAR,130,1067960,4574,PCC1F6F13,130,,
131,131,131,132,Tue Aug  3 07:01:26 2021,1100257,CAR,131,1100257,4116,PCCA836C9,131,1100257,
132,132,132,133,Sun Aug 22 10:01:40 2021,4346999,CAR,132,4346999,4049,PC4779D38,132,,
133,133,133,134,Sat Aug 14 17:24:04 2021,4371005,CAR,133,4371005,4435,PC3E78C17,133,,
134,134,134,135,Sat Aug 14 11:50:01 2021,1583109,CAR,134,1583109,4272,PC09BDC08,134,,
135,135,135,136,Wed Aug 18 07:26:20 2021,8808595,CAR,135,8808595,4929,PC9E503B6,135,,
136,136,136,137,Thu Aug  5 01:15:16 2021,1841800,VAN,136,1841800,4531,PC857F4A0,136,1841800,
137,137,137,138,Sat Jul 31 00:28:44 2021,1825050,CAR,137,1825050,4222,PC15EC378,137,,
138,138,138,139,Fri Aug 13 09:54:01 2021,8490556,CAR,138,8490556,4657,PCC591410,138,,
139,139,139,140,Thu Jul 29 23:02:42 2021,2549393,TRUCK,139,2549393,4481,PC30AAE76,139,,
140,140,140,141,Wed Aug 11 13:15:55 2021,9636921,TRUCK,140,9636921,4145,PC5FBE4B8,140,,
141,141,141,142,Thu Aug 19 21:13:57 2021,8899022,TRUCK,141,8899022,4813,PCACF7982,141,,
142,142,142,143,Thu Aug 19 08:46:24 2021,8112100,VAN,142,8112100,4585,PCF3AE602,142,,
143,143,143,144,Thu Jul 29 16:02:19 2021,335366,CAR,143,335366,4924,PCE3427C5,143,,
144,144,144,145,Sat Jul 31 19:32:50 2021,1716955,TRUCK,144,1716955,4584,PC1085B78,144,,
145,145,145,146,Sat Aug 21 13:56:33 2021,4153555,VAN,145,4153555,4225,PCC1ED0C5,145,,
146,146,146,147,Sat Jul 31 12:55:05 2021,5626263,CAR,146,5626263,4719,PCBD66B01,146,,
147,147,147,148,Fri Aug  6 23:05:57 2021,49472,CAR,147,49472,4830,PC12EEFE0,147,49472,
148,148,148,149,Thu Aug  5 15:24:15 2021,2497636,CAR,148,2497636,4073,PCA3797CA,148,2497636,
149,149,149,150,Tue Aug  3 19:13:15 2021,7825358,TRUCK,149,7825358,4954,PCA276EBB,149,7825358,
150,150,150,151,Sat Jul 31 11:27:59 2021,6084818,VAN,150,6084818,4732,PCD83DE25,150,,
151,151,151,152,Thu Aug 19 18:53:39 2021,5455899,CAR,151,5455899,4155,PC9042B3F,151,,
152,152,152,153,Tue Aug 17 22:11:51 2021,1849505,VAN,152,1849505,4142,PC7ACFF7C,152,,
153,153,153,154,Wed Aug 18 19:49:38 2021,6114302,CAR,153,6114302,4737,PCED7EAFE,153,,
154,154,154,155,Sun Aug 15 12:34:18 2021,8064123,CAR,154,8064123,4337,PCCF6A454,154,,
155,155,155,156,Fri Aug  6 19:17:50 2021,538972,TRUCK,155,538972,4507,PC11DCA73,155,538972,
156,156,156,157,Fri Jul 30 13:58:53 2021,6869546,TRUCK,156,6869546,4092,PC40C2E00,156,,
157,157,157,158,Mon Aug  2 16:00:33 2021,3766512,CAR,157,3766512,4269,PCC7106FF,157,3766512,
158,158,158,159,Fri Aug 20 21:45:41 2021,3528403,CAR,158,3528403,4610,PCA4D3E9B,158,,
159,159,159,160,Fri Aug 20 04:59:50 2021,4380057,VAN,159,4380057,4980,PCBD5C822,159,,
160,160,160,161,Sun Aug 15 00:36:59 2021,7876599,CAR,160,7876599,4295,PCD483999,160,,
161,161,161,162,Fri Aug 13 00:25:06 2021,969619,CAR,161,969619,4412,PC821BC98,161,,
162,162,162,163,Fri Jul 30 13:42:03 2021,5763049,CAR,162,5763049,4364,PCB33ACE8,162,,
163,163,163,164,Mon Aug 16 05:46:00 2021,6079402,TRUCK,163,6079402,4290,PC84E8CEF,163,,
164,164,164,165,Sun Aug  1 22:59:23 2021,4832816,CAR,164,4832816,4264,PC9DFEBB0,164,4832816,
165,165,165,166,Fri Aug 20 12:19:46 2021,3518759,TRUCK,165,3518759,4412,PC821BC98,165,,
166,166,166,167,Sat Jul 31 02:42:05 2021,4469770,TRUCK,166,4469770,4712,PC94168A2,166,,
167,167,167,168,Fri Aug  6 11:25:34 2021,7942552,TRUCK,167,7942552,4603,PC485BE5B,167,7942552,
168,168,168,169,Tue Aug 17 21:17:32 2021,2493747,TRUCK,168,2493747,4180,PC250A90D,168,,
169,169,169,170,Tue Aug  3 15:31:28 2021,8099060,CAR,169,8099060,4592,PC627AA14,169,8099060,
170,170,170,171,Fri Aug 20 22:50:25 2021,4492765,TRUCK,170,4492765,4008,PC5680D80,170,,
171,171,171,172,Fri Aug  6 07:45:56 2021,5758058,CAR,171,5758058,4083,PC90346C9,171,5758058,
172,172,172,173,Thu Aug 19 00:24:55 2021,9496559,CAR,172,9496559,4573,PC4D8469D,172,,
173,173,173,174,Fri Jul 30 02:24:22 2021,3174341,CAR,173,3174341,4642,PC17D596F,173,,
174,174,174,175,Fri Aug 13 05:55:34 2021,3318165,CAR,174,3318165,4693,PCB4CDDA5,174,,
175,175,175,176,Mon Aug  2 14:28:14 2021,7509515,TRUCK,175,7509515,4787,PC1BDA119,175,7509515,
176,176,176,177,Tue Aug  3 12:47:44 2021,367073,CAR,176,367073,4989,PC7D7AE48,176,367073,
177,177,177,178,Sun Aug  8 09:26:56 2021,8543348,TRUCK,177,8543348,4803,PC2BBEEDC,177,8543348,
178,178,178,179,Fri Aug 20 04:16:14 2021,4588656,CAR,178,4588656,4848,PCF0FC9B2,178,,
179,179,179,180,Fri Aug 20 04:22:16 2021,9706662,CAR,179,9706662,4377,PC4AC8EAD,179,,
180,180,180,181,Tue Aug 10 03:28:33 2021,3359010,CAR,180,3359010,4947,PCE4A44BE,180,,
181,181,181,182,Wed Aug 18 11:24:47 2021,7639441,CAR,181,7639441,4439,PC845CEA6,181,,
182,182,182,183,Tue Aug  3 08:52:25 2021,9449600,CAR,182,9449600,4346,PCA35B156,182,9449600,
183,183,183,184,Wed Aug 11 06:39:10 2021,7572233,CAR,183,7572233,4718,PC81E83B9,183,,
184,184,184,185,Fri Aug 20 03:23:49 2021,7096671,TRUCK,184,7096671,4049,PC4779D38,184,,
185,185,185,186,Fri Jul 30 23:54:00 2021,6218100,CAR,185,6218100,4579,PC926F0A9,185,,
186,186,186,187,Wed Aug 11 07:11:55 2021,9500467,VAN,186,9500467,4985,PCCA71D2C,186,,
187,187,187,188,Sun Aug 15 20:41:12 2021,2551672,TRUCK,187,2551672,4356,PCF1979AE,187,,
188,188,188,189,Wed Aug 18 18:28:36 2021,4423795,CAR,188,4423795,4631,PCFFF6463,188,,
189,189,189,190,Mon Aug  9 07:19:12 2021,1520424,CAR,189,1520424,4898,PC0AE9E1B,189,1520424,
190,190,190,191,Tue Aug 10 16:39:12 2021,5680437,CAR,190,5680437,4022,PCF135377,190,,
191,191,191,192,Mon Aug  9 02:30:05 2021,1469208,VAN,191,1469208,4586,PC4A40D50,191,1469208,
192,192,192,193,Mon Aug  9 06:58:52 2021,9017449,CAR,192,9017449,4733,PC797AEBF,192,9017449,
193,193,193,194,Sat Aug  7 03:09:03 2021,9014873,TRUCK,193,9014873,4764,PCF6B0D12,193,9014873,
194,194,194,195,Sat Aug  7 21:03:28 2021,6849933,CAR,194,6849933,4466,PC6E93A05,194,6849933,
195,195,195,196,Sun Aug  1 00:29:43 2021,1907386,CAR,195,1907386,4158,PCAA68777,195,1907386,
196,196,196,197,Sun Aug  1 01:56:36 2021,5556619,TRUCK,196,5556619,4111,PC07F012A,196,5556619,
197,197,197,198,Tue Aug 17 00:22:53 2021,8724319,TRUCK,197,8724319,4591,PCC9875AC,197,,
198,198,198,199,Mon Aug  9 08:24:12 2021,4066334,CAR,198,4066334,4015,PC524833E,198,4066334,
199,199,199,200,Sat Jul 31 19:46:31 2021,1208453,CAR,199,1208453,4420,PCFDB2950,199,,
200,200,200,201,Fri Aug  6 18:13:51 2021,8705286,TRUCK,200,8705286,4924,PCE3427C5,200,8705286,
201,201,201,202,Thu Aug 12 00:17:15 2021,758555,CAR,201,758555,4501,PC5D41947,201,,
202,202,202,203,Tue Aug 10 22:07:00 2021,7388283,CAR,202,7388283,4026,PC2CE9851,202,,
203,203,203,204,Sun Aug  8 07:16:20 2021,7589773,CAR,203,7589773,4280,PC03A5F23,203,7589773,
204,204,204,205,Wed Aug 18 08:29:07 2021,2316095,CAR,204,2316095,4953,PC1E2B07E,204,,
205,205,205,206,Tue Aug 10 20:36:42 2021,1847455,VAN,205,1847455,4923,PC8A7A22A,205,,
206,206,206,207,Fri Aug 13 05:36:53 2021,7707016,CAR,206,7707016,4283,PC953B572,206,,
207,207,207,208,Sun Aug  1 04:10:44 2021,2616520,TRUCK,207,2616520,4899,PC4967767,207,2616520,
208,208,208,209,Sun Aug 15 11:41:43 2021,8332760,TRUCK,208,8332760,4560,PC5030572,208,,
209,209,209,210,Mon Aug  9 05:19:02 2021,9677148,CAR,209,9677148,4037,PC0A50259,209,9677148,
210,210,210,211,Wed Aug  4 19:23:36 2021,2695699,CAR,210,2695699,4610,PCA4D3E9B,210,2695699,
211,211,211,212,Fri Aug 20 04:00:27 2021,1836057,CAR,211,1836057,4775,PCA50FB36,211,,
212,212,212,213,Wed Aug 18 09:20:33 2021,7980271,TRUCK,212,7980271,4414,PC40BD0F3,212,,
213,213,213,214,Sat Jul 31 01:41:58 2021,9166253,CAR,213,9166253,4915,PC86B0D7B,213,,
214,214,214,215,Mon Aug  2 20:26:27 2021,5966610,CAR,214,5966610,4618,PC8F4AF85,214,5966610,
215,215,215,216,Tue Aug 10 14:11:13 2021,8273227,CAR,215,8273227,4909,PCDED6F20,215,,
216,216,216,217,Tue Aug 17 11:21:41 2021,4772310,CAR,216,4772310,4497,PC76FDDEA,216,,
217,217,217,218,Thu Aug 12 01:18:11 2021,401226,CAR,217,401226,4401,PC0606D6A,217,,
218,218,218,219,Mon Aug  2 22:30:06 2021,5259884,VAN,218,5259884,4284,PC0DB49FD,218,5259884,
219,219,219,220,Thu Aug 12 13:20:29 2021,4560546,CAR,219,4560546,4235,PCFB11406,219,,
220,220,220,221,Fri Aug  6 23:10:56 2021,3679257,TRUCK,220,3679257,4482,PCB6A16D7,220,3679257,
221,221,221,222,Sun Aug  8 01:28:48 2021,5001460,CAR,221,5001460,4981,PC6B14C5D,221,5001460,
222,222,222,223,Thu Aug 12 14:26:03 2021,488809,CAR,222,488809,4175,PC08EA270,222,,
223,223,223,224,Sun Aug 15 16:57:15 2021,4435309,CAR,223,4435309,4188,PCDB12C82,223,,
224,224,224,225,Fri Aug  6 17:35:18 2021,9206176,CAR,224,9206176,4015,PC524833E,224,9206176,
225,225,225,226,Sat Aug  7 03:08:44 2021,5665208,TRUCK,225,5665208,4230,PC19CE0DB,225,5665208,
226,226,226,227,Sun Aug  1 05:31:31 2021,3619766,CAR,226,3619766,4686,PCD6E5E77,226,3619766,
227,227,227,228,Wed Aug 18 09:22:29 2021,8195160,CAR,227,8195160,4123,PCDE850D8,227,,
228,228,228,229,Wed Aug  4 05:40:04 2021,689804,TRUCK,228,689804,4283,PC953B572,228,689804,
229,229,229,230,Mon Aug 16 02:36:38 2021,7671204,CAR,229,7671204,4016,PCCD7399B,229,,
230,230,230,231,Fri Aug  6 19:31:40 2021,7549660,TRUCK,230,7549660,4504,PC461DCD3,230,7549660,
231,231,231,232,Mon Aug  2 17:00:36 2021,6999001,CAR,231,6999001,4377,PC4AC8EAD,231,6999001,
232,232,232,233,Thu Aug 12 15:17:57 2021,3470780,TRUCK,232,3470780,4971,PC0BD172F,232,,
233,233,233,234,Sat Aug  7 15:21:43 2021,3321932,CAR,233,3321932,4031,PC0214185,233,3321932,
234,234,234,235,Mon Aug  9 04:56:23 2021,2993477,TRUCK,234,2993477,4965,PCA0BAE0F,234,2993477,
235,235,235,236,Fri Aug 13 09:02:27 2021,7137012,CAR,235,7137012,4350,PCEDD7E85,235,,
236,236,236,237,Mon Aug  2 07:55:35 2021,4425207,CAR,236,4425207,4232,PC4156AD5,236,4425207,
